click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,month,dayofweek,day,hour
FALSE,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bd03f834,daa861e9,1,0,20251,320,50,2323,0,687,100081,48,10,2,22,8
FALSE,1005,0,dcc019de,250469f8,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a84d1037,ecb851b2,1,0,8330,320,50,761,3,175,100077,23,10,1,21,7
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,dd5e04d0,2692a96a,1,3,21191,320,50,2424,1,161,100189,71,10,5,25,14
FALSE,1002,0,3e447381,49772f16,50e219e0,ecad2386,7801e8d9,07d7df22,feb52061,f9452f17,a12e847c,0,0,17081,320,50,1921,3,47,-1,23,10,6,26,16
FALSE,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c1c017f1,9b0f71c2,1,0,19772,320,50,2227,0,679,-1,48,10,1,21,16
FALSE,1005,1,43d6df75,27e3c518,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ca50a496,1f0bc64f,1,0,6563,320,50,572,2,39,-1,32,10,1,21,20
FALSE,1005,0,47753f16,9ece7167,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8e055518,dc08543d,1,0,16859,320,50,1887,3,39,100199,23,10,3,30,10
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4ddaaefd,779d90c2,1,0,20108,320,50,2299,2,1327,-1,52,10,5,25,17
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,b62ca626,496515fa,1,3,21191,320,50,2424,1,161,100189,71,10,6,26,10
FALSE,1002,0,7b86de5b,7352ce80,50e219e0,ecad2386,7801e8d9,07d7df22,ebb98339,45b07b26,5a2f7cf8,0,0,5299,320,50,479,3,39,100075,23,10,6,26,12
TRUE,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,19fde48c,8a4875bd,1,0,19950,320,50,1800,3,167,100077,23,10,6,26,4
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,adf6caf6,3eb8d368,1,0,20508,320,50,2351,3,163,100020,61,10,5,25,23
FALSE,1002,0,a0a4523d,6a9dcbd8,50e219e0,ecad2386,7801e8d9,07d7df22,059cef41,61bb2292,072c9f1e,0,0,21412,320,50,2467,2,167,100075,23,10,0,27,19
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2b557efd,b78e6543,1,0,15703,320,50,1722,0,35,100084,79,10,5,25,18
FALSE,1005,1,ba9aee1b,9eaf88fa,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,87375a97,3e7932d7,1,0,19771,320,50,2227,0,935,100081,48,10,1,28,4
FALSE,1005,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8a014cbb,9dcb1cd1,1,0,15708,320,50,1722,0,35,-1,79,10,1,21,2
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8fcc5fbb,4ea23a13,1,0,15699,320,50,1722,0,35,-1,79,10,3,23,14
FALSE,1005,0,2b1ddb24,98acf46c,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,22b66417,3937b3bf,1,0,23635,320,50,2708,2,39,-1,23,10,3,30,8
FALSE,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,cc5db87f,8f5c9827,1,0,19772,320,50,2227,0,679,100075,48,10,2,22,8
TRUE,1005,1,5114c672,3f2f3819,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a180d667,d787e91b,1,0,19771,320,50,2227,0,679,100075,48,10,3,23,16
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e0365af7,836d2439,1,0,23725,320,50,2716,3,47,-1,23,10,2,29,19
FALSE,1002,0,85f751fd,c4e18dd6,50e219e0,08a53ae7,7801e8d9,07d7df22,88274336,e0df229f,555cd193,0,0,22672,320,50,2615,0,303,100111,70,10,0,27,4
FALSE,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,78fab4de,1f0bc64f,1,0,20633,320,50,2374,3,39,-1,23,10,4,24,12
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,6d3f7e5a,39dfd530,2882146f,1,0,4687,320,50,423,2,39,100148,32,10,6,26,6
FALSE,1005,1,0eb72673,d2f72222,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d9639d47,9efa421a,1,0,19771,320,50,2227,0,679,100074,48,10,3,23,6
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,4dc09112,496515fa,1,3,21189,320,50,2424,1,161,100191,71,10,3,23,22
TRUE,1002,0,9e8e8d09,16a36ef3,50e219e0,ecad2386,7801e8d9,07d7df22,c1046d28,527eee84,34d4af6b,0,0,22701,320,50,2624,0,35,100075,221,10,0,27,14
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b06b734f,04f5b394,1,0,4687,320,50,423,2,39,100148,32,10,5,25,10
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,6f927e2e,496515fa,1,3,21191,320,50,2424,1,161,100190,71,10,1,28,19
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e72ab516,a0f5f879,1,0,15702,320,50,1722,0,35,100084,79,10,2,29,21
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,dc35a127,a29a4df9,1,2,23804,320,50,2726,3,803,-1,229,10,3,30,6
FALSE,1005,1,5114c672,3f2f3819,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7076deae,2.53E+79,1,2,19771,320,50,2227,0,679,-1,48,10,6,26,6
FALSE,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e9c6a0f4,88fe1d5d,1,0,19771,320,50,2227,0,687,100074,48,10,1,21,7
