Sales,Profits,Discounts
261.96,41.9136,0
731.94,219.582,0
14.62,6.8714,0
957.5775,-383.031,0.45
22.368,2.5164,0.2
48.86,14.1694,0
7.28,1.9656,0
907.152,90.7152,0.2
18.504,5.7825,0.2
114.9,34.47,0
1706.184,85.3092,0.2
911.424,68.3568,0.2
15.552,,0.2
407.976,132.5922,0.2
68.81,-123.858,0.8
2.544,-3.816,0.8
665.88,13.3176,0
55.5,9.99,0
8.56,2.4824,0
213.48,16.011,0.2
22.72,7.384,0.2
19.46,5.0596,0
60.34,15.6884,0
71.372,-1.0196,0.3
1044.63,240.2649,0
11.648,4.2224,0.2
90.57,11.7741,0
3083.43,-1665.0522,0.5
9.618,-7.0532,0.7
124.2,15.525,0.2
3.264,1.1016,0.2
86.304,,0.2
6.858,-5.715,0.7
15.76,3.546,0.2
29.472,9.9468,0.2
1097.544,123.4737,0.2
190.92,-147.963,0.6
113.328,35.415,0.2
532.3992,-46.9764,0.32
212.058,-15.147,0.3
371.168,41.7564,0.2
147.168,16.5564,0.2
77.88,3.894,0
95.616,9.5616,0.2
45.98,19.7714,0
17.46,8.2062,0
211.96,8.4784,0
45,4.95,0
21.8,6.104,0
38.22,17.9634,0
75.18,35.3346,0
6.16,2.9568,0
89.99,17.0981,0
15.26,6.2566,0
1029.95,298.6855,0
208.56,52.14,0
32.4,15.552,0
319.41,7.098,0.1
14.56,6.9888,0
30,3.3,0
48.48,16.362,0.2
1.68,0.84,0
13.98,6.1512,0
25.824,9.3612,0.2
146.73,68.9631,0
79.76,22.3328,0
213.115,-15.2225,0.3
1113.024,111.3024,0.2
167.968,62.988,0.2
75.88,35.6636,0
4.616,1.731,0.2
19.05,8.763,0
831.936,-114.3912,0.2
97.04,1.213,0.2
72.784,-18.196,0.2
1.248,-1.9344,0.8
9.708,-5.8248,0.6
27.24,2.724,0.2
19.3,-14.475,0.6
208.16,56.2032,0
16.74,8.0352,0
14.9,4.172,0
21.39,6.2031,0
200.984,62.8075,0.2
230.376,-48.9549,0.2
301.96,33.2156,0
19.99,6.7966,0
6.16,2.9568,0
158.368,13.8572,0.2
20.1,6.633,0
73.584,8.2782,0.2
6.48,3.1104,0
12.96,6.2208,0
53.34,16.5354,0
32.96,16.1504,0
5.682,-3.788,0.7
96.53,40.5426,0
51.312,17.9592,0.2
77.88,22.5852,0
64.624,22.6184,0.2
95.976,-10.7973,0.2
1.788,-3.0396,0.8
23.92,11.7208,0
238.896,-26.8758,0.2
102.36,-3.8385,0.2
,,0.7
74.112,17.6016,0.2
27.992,2.0994,0.2
3.304,1.0738,0.2
339.96,67.992,0.2
41.96,10.9096,0
75.96,22.788,0
27.24,13.3476,0
40.096,14.5348,0.2
4.72,1.652,0.2
23.976,7.4925,0.2
130.464,44.0316,0.2
787.53,165.3813,0
157.794,-115.7156,0.7
47.04,18.3456,0
30.84,13.878,0
226.56,63.4368,0
115.02,51.759,0
68.04,19.7316,0
600.558,-8.5794,0.3
617.7,-407.682,0.5
2.388,-1.8308,0.7
243.992,30.499,0.2
81.424,-9.1602,0.2
238.56,26.2416,0
59.97,-11.994,0.4
78.304,29.364,0.2
21.456,6.9732,0.2
20.04,9.6192,0
35.44,16.6568,0
11.52,3.456,0
4.02,1.9698,0
76.176,26.6616,0.2
65.88,18.4464,0
43.12,20.6976,0
82.8,10.35,0.2
8.82,2.3814,0
10.86,5.1042,0
143.7,68.976,0
839.43,218.2518,0
671.93,20.1579,0
93.888,12.9096,0.2
384.45,103.8015,0
149.97,5.9988,0
1951.84,585.552,0
171.55,80.6285,0
157.92,17.766,0.2
203.184,15.2388,0.2
58.38,26.271,0
105.52,48.5392,0
80.88,21.0288,0
6.63,1.7901,0
457.568,51.4764,0.2
14.62,6.8714,0
944.93,236.2325,0
5.98,2.691,0
54.384,1.3596,0.2
28.4,13.348,0
27.68,9.688,0.2
9.936,2.7324,0.2
8159.952,-1359.992,0.4
275.928,-58.6347,0.2
1740.06,-24.858,0.3
32.064,6.8136,0.2
177.98,-453.849,0.8
143.976,8.9985,0.2
20.94,9.8418,0
110.96,53.2608,0
340.144,21.259,0.2
52.448,-131.12,0.8
20.16,6.552,0.2
97.264,-243.16,0.8
396.802,-11.3372,0.3
15.88,-3.7715,0.2
3.28,1.4104,0
24.816,1.8612,0.2
408.744,76.6395,0.2
503.96,131.0296,0
149.95,41.986,0
29,7.25,0
7.16,3.4368,0
176.8,22.984,0
37.224,3.7224,0.2
20.016,6.255,0.2
899.136,112.392,0.2
71.76,20.0928,0
51.84,24.8832,0
626.352,46.9764,0.2
19.9,6.567,0
14.28,6.7116,0
7.408,1.2038,0.2
6.048,1.5876,0.2
46.26,12.0276,0
2.946,-2.2586,0.7
16.056,5.8203,0.2
21.744,6.795,0.2
218.75,-161.875,0.5
2.6,0.2925,0.2
66.284,-178.9668,0.8
35.168,9.6712,0.2
444.768,44.4768,0.2
83.92,5.8744,0
131.98,35.6346,0
15.92,7.4824,0
52.29,16.2099,0
91.99,3.6796,0
20.8,6.5,0.2
23.68,8.88,0.2
452.45,-244.323,0.5
62.982,-14.6958,0.4
1188,-950.4,0.7
89.584,4.4792,0.2
93.06,26.0568,0
302.376,22.6782,0.2
5.584,1.8148,0.2
22.704,8.2302,0.2
19.776,-13.8432,0.7
72.704,19.0848,0.2
479.988,-383.9904,0.7
27.168,2.7168,0.2
2.2,0.968,0
622.45,136.939,0
21.98,0.2198,0
161.568,-28.2744,0.2
389.696,43.8408,0.2
18.648,-12.432,0.7
233.86,-102.048,0.45
620.6145,-248.2458,0.45
5.328,-3.552,0.7
258.072,0,0.2
617.976,-7.7247,0.2
10.56,4.752,0
25.92,9.396,0.2
419.68,-356.728,0.6
11.688,-4.6752,0.6
31.984,11.1944,0.2
177.225,-120.513,0.5
4.044,-2.8308,0.6
7.408,1.2038,0.2
2001.86,580.5394,0
166.72,41.68,0
47.88,23.94,0
1503.25,496.0725,0
25.92,12.4416,0
321.568,28.1372,0.2
7.61,3.5767,0
3347.37,636.0003,0
80.58,22.5624,0
361.92,162.864,0
12.132,-8.4924,0.6
82.368,-19.5624,0.2
53.92,4.044,0.2
647.904,56.6916,0.2
20.37,6.9258,0
221.55,6.6465,0
17.52,6.132,0.2
1.624,-4.466,0.8
3059.982,-509.997,0.4
2519.958,-251.9958,0.4
328.224,28.7196,0.2
79.9,35.156,0
14.016,4.7304,0.2
7.56,0.3024,0
37.208,-7.4416,0.2
57.576,21.591,0.2
725.84,210.4936,0
209.93,92.3692,0
5.28,2.3232,0
10.92,4.095,0.2
8.82,4.0572,0
5.98,1.5548,0
11.648,4.0768,0.2
18.176,5.9072,0.2
59.712,5.9712,0.2
24.84,8.694,0.2
2.08,-3.432,0.8
1114.4,376.11,0.2
1038.84,51.942,0.2
141.76,47.844,0.2
239.8,47.96,0.2
31.104,10.8864,0.2
254.058,-169.372,0.7
194.528,24.316,0.2
961.48,-204.3145,0.2
19.096,6.6836,0.2
18.496,6.2424,0.2
255.984,54.3966,0.2
86.97,-48.7032,0.5
300.416,78.8592,0.2
230.352,20.1558,0.2
218.352,-24.5646,0.2
78.6,-62.88,0.7
27.552,9.2988,0.2
32.4,15.552,0
1082.48,10.8248,
56.91,27.3168,0
77.6,38.024,0
14.28,6.5688,0
219.075,-131.445,0.5
26.8,12.864,0
9.84,2.8536,0
45.48,20.9208,0
289.2,83.868,0
4.89,2.0049,0
15.136,3.5948,0.2
466.768,52.5114,0.2
15.232,1.7136,0.2
6.264,2.0358,0.2
87.54,37.6422,0
178.384,22.298,0.2
15.552,5.4432,0.2
99.136,8.6744,0.2
135.882,24.1568,0.1
3991.98,1995.99,0
275.94,80.0226,0
360,129.6,0
43.57,13.071,0
7.16,3.58,0
251.52,81.744,0.2
99.99,34.9965,0
15.992,0.9995,0.2
290.898,-67.8762,0.4
54.224,3.389,0.2
786.744,-258.5016,0.3
100.24,33.831,0.2
37.764,-27.6936,
82.8,-20.7,0.4
20.724,-13.816,0.7
4.896,-3.4272,0.7
4.752,1.6038,0.2
959.984,335.9944,0.2
14.368,4.49,0.2
7.712,2.7956,0.2
698.352,-17.4588,0.2
4.96,2.3312,0
17.856,1.116,0.2
509.97,-407.976,0.7
30.992,10.0724,0.2
71.928,,0.4
88.8,-2.22,0.2
,4.7976,0.2
7.56,3.0996,0
24.56,11.5432,
12.96,4.1472,0
6.79,2.3086,0
24.56,11.5432,0
3.048,1.0668,0.2
49.12,23.0864,0
4355.168,1415.4296,0.2
388.704,-4.8588,0.2
8.26,3.7996,0
17.04,*6.%864#,0
34.4,15.824,0
36.24,11.325,0.2
647.84,168.4384,0
20.7,9.936,0
20.7,9.936,0
488.646,86.8704,
5.56,1.4456,0
47.12,20.7328,0
211.96,8.4784,0
23.2,10.44,0
7.36,0.1472,0
104.79,29.3412,
1043.92,271.4192,0
25.92,9.396,0.2
53.424,4.6746,0.2
8.16,-5.712,0.7
1023.936,179.1888,0.2
9.24,0.924,0.2
479.04,-29.94,0.2
99.136,#*3%0.98,0.2
1488.424,-297.6848,0.3
8.652,-20.3322,0.8
23.832,2.6811,0.2
12.176,-18.8728,0.8
50.96,25.48,0
49.536,17.3376,0.2
41.9,8.799,0
375.4575,-157.0095,0.45
83.976,-1.0497,0.2
482.34,-337.638,0.7
2.96,0.777,0.2
2.624,0.4264,0.2
23.36,7.884,0.2
39.98,13.5932,0
246.384,27.7182,0.2
1799.97,701.9883,0
12.462,-20.5623,0.8
75.792,25.5798,0.2
49.96,9.4924,0
12.96,6.2208,0
70.12,21.036,0
35.952,3.5952,0.2
2396.2656,-317.1528,0.32
131.136,-32.784,0.2
57.584,0.7198,0.2
9.568,3.4684,0.2
39.072,9.768,0.2
35.91,9.6957,0
179.95,37.7895,0
1199.976,434.9913,0.2
27.15,13.3035,0
1004.024,-112.9527,0.2
9.68,4.6464,0
28.35,13.608,0
55.98,27.4302,0
1336.829,31.4548,0.15
113.568,-18.4548,0.2
139.86,65.7342,0
307.136,26.8744,0.2
95.92,*25.#%8984,0
383.8,38.38,0.2
5.78,2.8322,0
9.32,2.7028,0
15.25,7.015,
196.752,56.5662,0.2
56.56,14.7056,0
32.7,8.502,0
866.4,225.264,0
28.4,11.076,0
287.92,138.2016,0
69.99,30.0957,0
6.672,0.5004,0.2
189.588,-145.3508,0.7
408.744,76.6395,0.2
291.96,54.7425,0.2
4.768,-0.7748,0.2
714.3,207.147,0
4.812,-3.6892,0.7
247.8,-18.585,0.2
1007.979,43.1991,0.3
313.488,113.6394,0.2
31.872,11.5536,0.2
207.846,2.3094,0.1
12.22,3.666,0
194.94,23.3928,0
70.95,20.5755,0
91.36,42.0256,0
242.94,29.1528,0
,10.584,0
2.91,1.3677,0
59.52,15.4752,0
161.94,9.7164,0
263.88,71.2476,0
30.48,7.9248,0
9.84,2.8536,0
35.12,9.1312,0
284.364,-75.8304,0.4
665.408,66.5408,0.2
63.88,24.9132,0
129.568,-24.294,0.2
747.558,-96.1146,0.3
8.928,3.348,0.2
103.92,36.372,0
899.91,377.9622,0
51.312,18.6006,0.2
23.56,7.068,0.2
1272.63,-814.4832,0.5
28.485,-20.889,0.7
185.376,-34.758,0.2
78.272,5.8704,0.2
254.744,-312.0614,0.6
205.3328,-36.2352,
4.788,-7.9002,0.8
55.48,26.6304,0
340.92,3.4092,0
222.666,10.4784,0.15
703.968,87.996,0.2
92.52,24.9804,0
62.65,28.819,0
94.85,45.528,0
95.76,7.182,0.2
40.2,19.296,0
14.7,6.615,0
704.25,84.51,0
9.09,1.9089,0
5.96,1.6688,0
159.98,57.5928,0
29.6,14.8,0
514.165,-30.245,0.15
279.96,17.4975,0.2
2735.952,341.994,0.2
7.992,0.5994,0.2
63.984,10.3974,0.2
70.368,6.1572,0.2
449.15,8.983,0
11.07,5.0922,0
93.98,13.1572,0
189.882,-94.941,0.4
105.42,51.6558,0
119.616,40.3704,0.2
255.76,81.8432,0
241.568,18.1176,0.2
69.3,22.869,0
22.62,-15.08,0.7
14.952,-11.9616,
801.568,50.098,0.2
2.376,-1.9008,0.7
32.792,11.8871,0.2
15.92,5.373,0.2
2.74,0.7398,0
8.34,2.1684,0
46.74,11.685,0
6354.95,3177.475,0
126.3,40.416,0
38.04,12.1728,0
7.152,0.7152,0.2
6.63,1.7901,0
5.88,1.7052,0
2999.95,1379.977,0
51.45,13.8915,0
11.96,5.382,0
1126.02,56.301,0
18.392,5.2877,0.2
129.568,-25.9136,0.2
14.112,-21.168,0.8
210.98,21.098,0
55.176,-12.4146,0.2
66.26,27.1666,0
22.2,10.434,0
683.952#$%,42.747,0.2
45.696,5.1408,0.2
36.336,-7.2672,0.2
666.248,-149.9058,0.2
52.512,19.692,0.2
190.72,11.92,
47.94,2.397,0
979.95,274.386,0
22.75,11.375,0
16.768,1.4672,0.2
42.616,-68.1856,0.8
10.752,3.36,0.2
152.94,41.2938,0
283.92,70.98,0
468.9,206.316,0
380.864,38.0864,0.2
646.776,-145.5246,0.2
58.112,7.264,0.2
100.792,6.2995,0.2
66.112,-84.2928,0.6
41.28,13.932,0.2
13.36,6.4128,0
250.272,15.642,0.2
11.364,-17.046,0.8
8.72,-1.744,0.2
1121.568,0,0.2
34.504,6.0382,0.2
10.824,2.5707,0.2
1295.78,310.9872,0
19.456,3.4048,0.2
20.7,9%.93*6#,0
1335.68,-217.048,0.2
32.4,15.552,0
42.6,16.614,0
84.056,27.3182,0.2
13,1.3,0.2
13.128,3.7743,0.2
3.96,0,0
2.61,1.2006,0
374.376,46.797,0.2
91.84,45.0016,0
81.088,27.3672,0.2
19.44,9.3312,0
451.152,0,0.2
72.45,34.776,0
13.96,6.4216,0
33.264,11.2266,0.2
14.85,4.0095,0
8.82,2.3814,0
160.72,78.7528,0
19.92,9.7608,0
7.3,2.19,0
69.712,8.714,0.2
8.792,-5.7148,0.6
51.52,1.5456,0
470.376,52.9173,0.2
105.584,9.2386,0.2
31.152,3.5046,0.2
6.783,-4.7481,0.7
406.368,30.4776,0.2
70.98,4.9686,0
294.93,144.5157,0
84.784,-20.1362,0.2
20.736,7.2576,0.2
16.821,-12.8961,0.7
10.368,3.6288,0.2
9.344,1.168,0.2
31.2,9.75,0.2
76.12,22.0748,0
1199.976,434.9913,0.2
445.96,55.745,0.2
327.76,91.7728,0
11.632,1.0178,0.2
143.982,-28.7964,0.4
494.376,-115.3544,0.4
5.84,0.73,0.2
142.776,17.847,0.2
45.696,5.1408,0.2
7.218,-5.5338,0.7
43.188,-31.6712,0.7
131.904,47.8152,0.2
3.282,-2.6256,0.7
21.168,2.3814,0.2
55.188,-10.1178,0.4
369.576,41.5773,0.2
15.712,5.6956,0.2
8.448,2.64,0.2
728.946,-157.9383,0.4
119.94,15.992,0.4
3.648,-2.7968,0.7
40.48,15.7872,0
9.94,3.0814,0
107.424,33.57,0.2
37.91,10.9939,0
88.02,27.2862,0
8.69,-14.773,0.8
301.96,87.5684,0
555.21,178.901,0.1
523.48,130.87,0
161.82,46.9278,0
35.56,12.0904,0
97.16,2*%#8.1764,0
15.24,5.1435,0.2
13.23,6.0858,0
243.384,-51.7191,0.2
119.8,29.95,0.2
300.768,30.0768,0.2
17.88,2.4585,0.2
235.944,85.5297,0.2
392.94,43.2234,0
18.882,-13.8468,0.7
122.328,12.2328,0.2
1049.2,272.792,0
15.424,5.0128,0.2
18.84,6.0288,0
330.4,85.904,0
26.25,12.6,0
132.52,54.3332,0
6.48,3.1752,0
209.3,56.511,0
31.56,9.8625,0.2
30.144,3.0144,0.2
14.8,6.068,0
302.376,22.6782,0.2
316,31.6,0
379.4,178.318,0
97.82,45.9754,0
103.12,10.312,0
113.552,8.5164,0.2
3.318,-2.6544,0.7
134.288,45.3222,0.2
701.372,-50.098,0.3
2.308,-3.462,0.8
999.432,124.929,0.2
724.08,-135.765,0.2
918.785,-118.1295,0.3
2.724,-4.2222,0.8
459.95,18.398,0
10.74,5.2626,0
23.76,2.079,0.2
85.056,28.7064,0.2
381.576,28.6182,0.2
30.36,8.7285,0.2
23.976,-14.3856,0.6
108.925,-71.8905,0.5
36.352,11.36,0.2
19.56,1.7115,0.2
61.44,16.5888,0
38.9,17.505,0
99.39,40.7499,0
2.688,-7.392,0.8
27.816,4.5201,0.2
82.524,-41.262,0.6
182.994,-320.2395,0.8
14.352,4.6644,0.2
64.96,2.5984,0
68.6,18.522,0
7999.98,-3839.9904,0.5
167.44,14.651,0.2
479.97,163.1898,0
14.62,6.8714,0
19.44,9.3312,0
191.984,4.7996,0.2
104.01,14.5614,0
284.82,74.0532,0
36.84,10.3152,0
166.24,24.936,0
33.4,16.032,0
198.272,17.3488,0.2
47.36,17.76,0.2
200.984,62.8075,0.2
97.696,31.7512,0.2
2.696,0.8088,0.2
18.588,-13.6312,0.7
4.896,-3.4272,0.7
15.072,4.1448,0.2
209.88,35.6796,0
369.912,-13.8717,0.2
10.368,3.6288,0.2
166.84,18.7695,0.2
15.216,2.2824,0.2
119.96,52.7824,
883.92,-110.49,0.2
46.72,15.768,0.2
55.48,26.6304,0
24.448,8.8624,0.2
281.34,109.7226,0
307.98,89.3142,0
299.97,113.9886,0
19.92,6.972,0.2
